,omm_id,hydro_year,helio,hr,nub,pres_est,pres_nm,td,tmax,tmed,tmin,vmax_d,vmax_f,vmed,caudal,PTA,PMDA
111,87349,2009,7.796438356164383,62.863013698630134,3.5013698630136987,975.0805479452056,1014.4049315068493,8.95917808219178,25.68805031446541,17.49205479452055,11.660547945205481,20.926027397260274,4.8613698630136986,1.7413698630136987,,458.3,53.0
112,87349,2010,7.995068493150685,64.30684931506849,3.1671232876712327,975.847397260274,1015.2841095890411,8.878082191780821,24.42684931506849,16.932328767123288,11.036438356164384,21.345205479452055,5.511780821917808,1.8942465753424658,,622.3,64.0
113,87349,2011,7.865846994535519,65.05191256830601,3.33879781420765,975.360655737705,1014.6844262295082,9.698360655737705,25.20300546448087,17.57896174863388,11.639344262295081,23.185792349726775,5.874590163934426,2.3172131147540984,,640.8,51.0
114,87349,2012,8.016164383561645,65.26575342465753,3.2958904109589042,975.6358904109588,1015.0161643835617,9.725205479452054,24.655342465753428,17.386575342465754,11.165205479452055,21.043835616438358,10.862739726027398,3.2405479452054795,,808.5,88.0
115,87349,2013,7.629281767955802,65.24383561643836,3.5561643835616437,975.710410958904,1015.0830136986301,9.633698630136987,24.510410958904107,17.504109589041096,11.264383561643836,22.208219178082192,12.749589041095891,3.4424657534246577,,803.9,85.0
116,87349,2014,7.5309192200557105,69.76712328767124,3.5643835616438357,975.3249315068492,1014.5805479452056,11.667945205479452,25.127397260273973,18.255342465753426,12.151232876712328,23.925619834710744,12.860330578512396,3.373972602739726,,905.8,73.0
117,87349,2015,6.511764705882353,72.03305785123968,4.606060606060606,975.1625344352617,1014.5250688705233,11.516528925619834,23.901923076923076,17.415702479338844,11.845303867403315,22.088122605363985,9.780459770114943,2.643801652892562,,709.1,72.0
118,87349,2016,7.604761904761905,71.1945205479452,3.5643835616438357,975.0915068493151,1014.4706849315069,11.15041095890411,23.999452054794517,17.27205479452055,11.264931506849315,25.88372093023256,5.841860465116279,2.124931506849315,,672.4,58.0
119,87349,2017,7.537087912087912,67.24657534246575,3.627397260273973,973.3657534246576,1012.5542465753424,10.926575342465753,25.358082191780824,18.160273972602738,11.972054794520549,21.20769230769231,10.107692307692307,2.5652054794520547,,633.1,65.0
120,87349,2018,7.347945205479452,70.97808219178083,3.76986301369863,975.4446575342465,1014.8561643835617,10.998904109589041,23.827671232876714,17.17095890410959,11.61753424657534,20.16991643454039,10.084401114206129,2.6641095890410957,,733.6,60.0
121,87349,2019,7.819004524886878,64.00450450450451,3.3603603603603602,976.5283783783783,1016.0878378378378,8.517117117117117,23.685135135135138,16.467567567567567,10.2490990990991,19.509174311926607,10.615596330275231,2.863963963963964,,281.8,58.0
122,87453,1960,7.575333333333333,71.8639455782313,3.272108843537415,964.0659863945579,,12.839455782312927,23.383333333333336,18.733333333333334,9.433333333333334,,,3.737414965986394,,433.0,53.9
123,87453,1961,7.4305785123966945,66.8603896103896,3.361290322580645,965.7945161290322,,8.583766233766234,24.464227642276423,15.61590909090909,11.720394736842104,,,3.838709677419355,,951.5,64.3
124,87453,1962,7.480110497237569,65.3232044198895,3.287292817679558,966.6718232044199,,8.82624309392265,23.192200557103064,16.288950276243096,10.68005540166205,,,4.013812154696133,,768.2,57.8
125,87453,1963,6.041274238227147,68.7877094972067,4.5474860335195535,966.1486033519553,,6.154748603351956,22.3275,12.829608938547485,11.025761772853187,,,4.146368715083799,,828.3,58.0
126,87453,1964,7.251515151515152,64.0625,3.0384615384615383,965.498076923077,,7.985576923076923,22.666027397260276,15.694230769230769,9.935164835164835,16.24590163934426,6.701639344262295,3.326923076923077,,824.2,47.6
127,87453,1965,6.662952646239554,65.67127071823204,3.68232044198895,964.8082872928176,,8.485911602209946,23.182596685082874,16.259668508287294,10.834254143646408,14.12707182320442,6.9201657458563535,3.8080110497237567,,819.3,74.8
